Thought	Is Thought	Cognitive Distortion	Subcategory
I'll never get her to understand where i am coming from	Y	Absolute	Black and White Thinking
Of course this shit would happen to me!	Y	Absolute	Labeling
"I miss my dad."	Emotion	-	-
I feel so bad for her right now. 	Emotion	-	-
She must be so emarrassed.	Y	Making Guesses	Mindreading
 I feel like yelling at the kid who did thus.	Emotion	-	-
That man is dead.	Situation	-	-
 I'm seeing a dead body.	Situation	-	-
Oh boy, is Dan going to get mad at me for this one!	Y	Making Guesses	Fortune Telling
How dare she ruin that project by pretending she's qualified.	Y	Misperception, Making Guesses	Magnification, Mindreading
She should know better.	Y	Absolute	Shoulds and musts
She needs to learn that she's not as smart as she would like to think.	Y	Absolute, Making Guesses	Shoulds and musts, Mindreading
I got very angry and frustrated	Emotion	-	-
then decided to go to bed.	Situation	-	-
 I really am alone in this world.  	Y	Absolute, Absolute	Labeling, Black and White Thinking
Why do you have to call when you know it's bedtime?	Y	Misperception, Making Guesses	Magnification, Mindreading
I can't deal with this. 	Y	Making Guesses, Making Guesses, Mispersecption	Labeling, Overgeneralization, Magnification
He always wants people to think he's such a good guy instead of a jerk.	Y	Misperception, Absolute	Magnification, Black and White Thinking
At first I was shocked, 	Emotion	-	-
then I was angry.	Emotion	-	-
then for a brief period I was sad. 	Emotion	-	-
2 days later I was extremely relieved.	Emotion	-	-
He is so annoying he always thinks of himself.	Y	Misperception, Absolute, Making Guesses	Magnification, Black and White Thinking, Mindreading
I'll never be good enough to be her mother	Y	Absolute, Making Guesses	Black and White Thinking, Labeling
I miss her so very much.	Emotion		
Please let her be ok!!!	Y	Making Guesses	Fortune Telling
We are never going to be able to get ahead!	Y	Making Guesses, Making Guesses	Fortune Telling, Overgeneralization
Why doesn't he want to help me?	Y	Making Guesses	Mindreading
I always get cancelled on or left out.	Y	Absolute, Making Guesses	Black and White Thinking, Overgeneralization
This is going to ruin my life	Y	Making Guesses	Fortune Telling
 I was very sad and upset.	Emotion		
My father no longer has any siblings alive.  	Situation	-	-
 I cannot help him from feeling so alone.	Emotion	-	-
I feel so sad seeing him cry.	Emotion	-	-
How was I stupid enough to end up here?	Y	Absolute	Labeling
I might kill myself.	Y	Making Guesses	Emotional Reasoning
Lonely, Empty (when looking at the bed, and the feeling in my arms), Longing, Envy from earlier that day	Emotion	-	-
seeing friends in couples all happy together	Emotion	-	-
rage and anger at the negativity and criticism coming from friends who constantly put down my relationship	Emotion	-	-
I never should've gone in the first place. -- And, either, because  Why should I keep on going? 	Y	Absolute	Shoulds and musts
I'll never be able to get those friends I made back	Y	Absolute, Making Guesses, Making Guesses	Black and White Thinking, Fortune Telling, Overgeneralization
 I won't make any new ones like them	Y	Making Guesses	Fortune Telling
I'll never be able to go back to school and be successful.	Y	Absolute, Making Guesses	Black and White Thinking, Overgeneralization
I've already ruined my life.	Y	Absolute, Making Guesses	Labeling, Overgeneralization
She must not like me for some reason.	Y	Making Guesses	Mindreading
I felt angry about the fact that this company was trying to charge me so much for something that isn't even my fault.	Emotion	-	-
I can't do this	Y	Absolute	Labeling
God hates me so much!	Y	Making Guesses, Misperception	Mindreading, Magnification
I hope that they don't think I don't belong here..	Y	Making Guesses, Making Guesses	Fortune Telling, Mindreading
He thinks he's entitled to my help. 	Y	Making Guesses	Mindreading
There's always something he wants me to do.	Y	Absolute, Absolute	Black and White Thinking, Mindreading
Content. Peaceful. At ease. Mindless.	Emotion	-	-
she ignored what i said!	Y	Making Guesses	Mindreading
he's always late.	Y	Absolute, Misperception	Black and White Thinking, Magnification
I was so angry because he was telling me I couldn't eat.	Emotion	-	-
I was sad because I was getting picked on when everyone else was eating while on the phone.	Emotion	-	-
They are not returning my phone call because they don't want to help me.	Y	Making Guesses	Mindreading
I'll never get the hang of this job.	Y	Absolute, Making Guesses, Making Guesses	Black and White Thinking, Fortune Telling, Overgeneralization
She was dedicated to the company, and helped out a lot of people.	Situation	-	-
This guy will not listen. 	Y	Making Guesses	Mindreading
Everyone is on edge right now.	Y	Absolute	Black and White Thinking
"She always does this shit to me."	Y	Absolute, Misperception, Making Guesses	Black and White Thinking, Magnification, Mindreading
I thought "She must be mad at me for some reason, which I do not know"	Y	Making Guesses	Mindreading
She's going to leave me.	Y	Making Guesses, Making Guesses	Mindreading, Fortune telling
He doesn't like me.	Y	Making Guesses	Mindreading
I feel so stupid.	Y	Absolute 	Labeling
she probably thinks im stupid.	Y	Making Guesses	Mindreading
Ugh, I always do this I'm such an idiot I'm a bad friend	Y	Absolutes	Labeling
 I shouldn't have been so careless	Y	Absolute	Shoulds and musts
Why doesn't anyone ever listen to me?	Y	Absolute, Making Guesses	Black and White Thinking, Mindreading
I was just angry and disappointed in myself	Emotion	-	-
I am an idiot and completely stupid.	Y	Absolute	Labeling
I should be fired.	Y	Absolute	Shoulds and musts
never be hired anywhere else becaue of my incompetence.	Y	Making Guesses, Absolute	Overgeneralization, Labeling
I cannot believe these people would have so little respect for me.	Y	Misperception, Making Guesses	Magnification, Mindreading
they think I am here just for them and my time should revolve around them.	Y	Making Guesses	Mindreading
She likes someone else.	Y	Making Guesses	Mindreading
