thought_nnp 	is thought	cognitive distortion	subcategory
of_in course_nn this_dt shit_subj_nn would_md happen_vb to_to me_prp !_. 	y	absolute	labeling
``_`` i_subj_prp miss_vbp my_prp$ dad_nn ._. ''_'' 	emotion	-	-
that_dt man_subj_nn is_vbz dead_jj ._. 	situation	-	-
oh_uh boy_uh ,_, is_vbz dan_subj_nnp going_vbg to_to get_vb mad_jj at_in me_prp for_in this_dt one_cd !_. 	y	making guesses	fortune telling
how_wrb dare_vbp she_subj_prp ruin_vb that_dt project_nn by_in pretending_vbg she_subj_prp 's_vbz qualified_vbn ._. 	y	misperception, making guesses	magnification, mindreading
i_subj_prp really_rb am_vbp alone_rb in_i_subjn this_dt world_nn ._. 	y	absolute, absolute	labeling, black and white thinking
why_wrb do_vbp you_subj_subj_prp have_vb to_to call_vb when_wrb you_subj_subj_prp know_vbp it_subj_prp 's_vbz bedtime_nn ?_. 	y	misperception, making guesses	magnification, mindreading
i_subj_prp ca_md n't_rb deal_vb with_i_subjn this_dt ._. 	y	making guesses, making guesses, mispersecption	labeling, overgeneralization, magnification
he_subj_prp always_rb wants_vbz people_subj_nns to_to think_vb he_subj_prp 's_vbz such_jj a_dt good_jj guy_nn instead_rb of_in a_dt jerk_nn ._. 	y	misperception, absolute	magnification, black and white thinking
he_subj_prp is_vbz so_rb annoying_jj he_subj_prp always_rb thinks_vbz of_in himself_prp ._. 	y	misperception, absolute, making guesses	magnification, black and white thinking, mindreading
i_subj_prp miss_vbp her_subj_prp$ so_rb very_rb much_rb ._. 	emotion		
we_subj_prp are_vbp never_rb going_vbg to_to be_vb able_jj to_to get_vb ahead_rb !_. 	y	making guesses, making guesses	fortune telling, overgeneralization
why_wrb does_vbz n't_rb he_subj_prp want_vb to_to he_subjlp_vb me_prp ?_. 	y	making guesses	mindreading
this_subj_dt is_vbz going_vbg to_to ruin_vb my_prp$ life_nn 	y	making guesses	fortune telling
rage_nn and_cc anger_nn at_in the_dt negativity_nn and_cc criticism_nn coming_vbg from_in friends_nns who_subj_wp constantly_rb put_vbd down_rp my_prp$ relationship_nn 	emotion	-	-
i_subj_prp wo_md n't_rb make_vb any_dt new_jj ones_nns like_i_subjn them_prp 	y	making guesses	fortune telling
i_subj_prp felt_vbd angry_jj about_i_subjn the_dt fact_nn that_subj_i_subjn this_dt company_subj_nn was_vbd trying_vbg to_to charge_vb me_prp so_rb much_rb for_i_subjn something_nn that_subj_wdt is_vbz n't_rb even_rb my_prp$ fault_nn ._. 	emotion	-	-
i_subj_prp ca_md n't_rb do_vb this_dt 	y	absolute	labeling
god_subj_nnp hates_vbz me_subj_prp so_rb much_rb !_. 	y	making guesses, misperception	mindreading, magnification
i_subj_subj_prp hope_vbp that_i_subj_subjn they_subj_prp do_vbp n't_rb think_vb i_subj_subj_prp do_vbp n't_rb belong_vb here_rb ._. ._. 	y	making guesses, making guesses	fortune telling, mindreading
he_subj_prp 's_vbz always_rb late_jj ._. 	y	absolute, misperception	black and white thinking, magnification
i_subj_subj_prp was_vbd so_rb angry_jj because_i_subj_subjn he_subj_prp was_vbd telling_vbg me_prp i_subj_subj_prp could_md n't_rb eat_vb ._. 	emotion	-	-
they_subj_prp are_vbp not_rb returning_vbg my_prp$ phone_nn call_nn because_in they_subj_prp do_vbp n't_rb want_vb to_to help_vb me_prp ._. 	y	making guesses	mindreading
